City,Date,Year,Month,Day,AQI,PM2.5,PM10,NO2,SO2,AQI_Category
Delhi,2023-01-01,2023,1,1,152,239.9801811237687,89.70522014914224,119.15674003818769,61.70076500491626,Moderately Polluted
Delhi,2023-01-02,2023,1,2,171,51.018383499179784,42.07177262391579,131.26466040849093,62.10592611560484,Moderately Polluted
Delhi,2023-01-03,2023,1,3,201,197.0120995199116,41.436400030298095,111.07982811735546,94.16250735649626,Poor
Delhi,2023-01-04,2023,1,4,435,58.638365326094686,89.69371374430484,52.59391401433528,54.851861005062595,Very Poor
Delhi,2023-01-05,2023,1,5,285,11.803415387217647,219.41437089818788,65.98053604013577,9.433238005293465,Poor
Delhi,2023-01-06,2023,1,6,237,113.07674377163906,193.30659400247364,119.9246345950219,23.969009305044175,Poor
Delhi,2023-01-07,2023,1,7,104,295.0531113130025,197.36989943423237,130.39165694308488,69.62921616583907,Moderately Polluted
Delhi,2023-01-08,2023,1,8,378,24.190219930657456,380.57650415626665,145.18848463043832,81.79774807106381,Very Poor
Delhi,2023-01-09,2023,1,9,314,9.710044404963188,107.73965373641661,43.74356524364164,69.91003428841853,Very Poor
Delhi,2023-01-10,2023,1,10,313,15.144613728989427,365.54175278993716,46.229197424002365,67.9396170136283,Very Poor
Delhi,2023-01-11,2023,1,11,51,130.4209829749172,99.01783188991175,89.47804589479881,7.974762783278066,Satisfactory
Delhi,2023-01-12,2023,1,12,267,137.67746934408086,170.1570896806895,139.7322412111312,74.09083960635998,Poor
Delhi,2023-01-13,2023,1,13,320,31.10528810531625,94.47348771927517,16.33182044747533,35.90638142251011,Very Poor
Delhi,2023-01-14,2023,1,14,257,225.45943249052735,225.08301030785032,92.14516319293875,96.69925419009311,Poor
Delhi,2023-01-15,2023,1,15,237,165.0953445316833,73.55120549040981,122.30757730556556,12.082311149578228,Poor
Delhi,2023-01-16,2023,1,16,376,129.90343680837904,170.0549769067165,51.088344460525335,6.3375831579330235,Very Poor
Delhi,2023-01-17,2023,1,17,130,214.84587606085174,320.26670540185813,94.8343964693416,92.99858345876815,Moderately Polluted
Delhi,2023-01-18,2023,1,18,90,274.91310428541533,343.01465956012373,72.92309437934847,14.063961066589075,Satisfactory
Delhi,2023-01-19,2023,1,19,111,100.92907999789038,297.25034776846434,99.25804598972984,89.28521054475102,Moderately Polluted
Delhi,2023-01-20,2023,1,20,276,40.280302551799004,291.0330191447381,116.50990680636565,58.32133376910214,Poor
Delhi,2023-01-21,2023,1,21,304,80.54015521459057,35.364764024603915,109.49280455601024,15.534627977123975,Very Poor
Delhi,2023-01-22,2023,1,22,429,36.82797096302481,31.943090560959014,99.09745757692926,34.86381820225104,Very Poor
Delhi,2023-01-23,2023,1,23,145,210.1772454957076,72.94595267423276,94.61843309889441,56.284903673658945,Moderately Polluted
Delhi,2023-01-24,2023,1,24,78,72.49545882002863,49.252365734941336,50.56520340792753,20.31602228913042,Satisfactory
Delhi,2023-01-25,2023,1,25,115,189.184444199469,132.34080061833131,24.769196376237886,48.370784195876475,Moderately Polluted
Delhi,2023-01-26,2023,1,26,157,60.038167371380574,359.17241942619154,85.5079138681911,81.70681474058594,Moderately Polluted
Delhi,2023-01-27,2023,1,27,397,110.1078622327076,364.5948077873865,48.098514913848945,66.53056145142942,Very Poor
Delhi,2023-01-28,2023,1,28,170,246.31435594713548,347.0776216374105,10.973298274366698,53.52099374486875,Moderately Polluted
Delhi,2023-01-29,2023,1,29,186,148.02484155090005,283.1256924983027,47.71772673179301,28.191924613538546,Moderately Polluted
Delhi,2023-01-30,2023,1,30,364,100.3448649461228,217.1404362624791,108.42265424532489,39.54481222603293,Very Poor
Delhi,2023-01-31,2023,1,31,101,77.82843853738736,284.59562367911957,109.71788258942189,19.06825834557299,Moderately Polluted
Delhi,2023-02-01,2023,2,1,130,83.70039921120907,391.1136832164081,67.54518186455238,8.139819625552096,Moderately Polluted
Delhi,2023-02-02,2023,2,2,273,272.9384363601628,111.03351845344952,30.285282092771233,51.49801222636849,Poor
