Disease,Cough,Breathlessness,Wheezing,Shortness of Breath,Fever,Chest Pain,Headache,Fatigue,Sneezing,Itchy Eyes
Asthma,0,1,1,0,0,0,1,0,0,0
Asthma,1,1,0,1,1,1,0,1,1,1
Asthma,1,1,1,1,1,0,1,0,0,1
Asthma,0,1,0,1,0,1,0,1,0,0
Asthma,1,1,0,1,0,1,0,0,1,1
Asthma,0,1,1,1,1,0,0,1,0,1
Asthma,1,1,1,1,0,1,0,0,1,1
Asthma,1,1,1,1,1,1,0,1,1,0
Asthma,0,0,0,1,0,0,0,1,0,1
Asthma,0,1,0,1,1,1,0,1,1,0
Asthma,1,1,0,1,1,1,0,0,0,1
Asthma,1,1,1,1,1,0,1,1,0,0
Asthma,1,1,0,1,1,1,0,0,0,1
Asthma,1,1,1,0,1,0,0,0,0,1
Asthma,1,1,0,1,0,1,1,0,1,1
Asthma,1,0,1,1,0,1,0,0,0,0
Asthma,1,1,1,1,0,0,0,1,1,1
Asthma,1,1,1,0,0,1,1,1,0,1
Asthma,1,1,0,0,1,1,0,1,1,1
Asthma,1,1,0,1,0,1,0,1,1,1
Asthma,0,1,1,1,0,1,0,1,0,1
Asthma,1,1,0,1,0,0,0,1,0,0
Asthma,1,1,0,1,1,0,1,0,1,1
Asthma,1,1,1,1,0,0,1,1,0,0
Asthma,1,1,1,1,0,1,0,1,0,1
Asthma,0,1,0,1,0,0,0,0,0,0
Asthma,1,1,0,1,0,1,1,1,1,0
Asthma,1,1,0,1,0,1,1,0,1,0
Asthma,1,1,0,1,0,0,0,0,0,1
Asthma,1,1,0,1,1,0,0,1,1,1
Asthma,1,1,1,1,1,0,1,1,0,0
Asthma,0,0,0,0,0,1,0,1,0,1
Asthma,1,1,1,1,1,1,1,0,1,1
Asthma,1,0,1,1,1,1,1,1,1,0
Asthma,0,1,1,1,1,0,1,0,1,1
Asthma,0,1,1,1,0,1,1,0,1,1
Asthma,0,1,1,1,1,0,0,1,1,0
Asthma,0,1,1,0,0,0,1,1,1,0
Asthma,1,1,1,1,1,0,1,1,1,0
Asthma,1,0,1,1,0,1,0,1,0,1
Asthma,0,1,1,1,1,0,0,0,1,0
Asthma,1,1,1,1,0,0,0,1,0,0
Asthma,1,0,0,1,1,0,0,1,0,0
Asthma,1,1,0,1,1,1,0,1,1,1
Asthma,1,1,0,0,1,0,1,1,1,0
Asthma,1,1,0,1,1,0,1,1,0,0
Asthma,1,1,1,1,0,1,0,1,0,0
Asthma,1,0,1,1,0,0,0,1,0,1
Asthma,1,1,0,1,0,1,0,0,0,0
Asthma,1,0,1,1,1,0,0,0,0,1
Asthma,1,1,1,1,1,1,1,0,1,1
Asthma,1,1,1,1,0,1,0,0,0,1
Asthma,1,1,0,1,0,0,0,0,1,0
Asthma,1,0,1,1,1,1,0,1,1,1
Asthma,0,1,1,1,0,1,0,1,1,1
Asthma,1,1,1,1,1,0,0,0,1,0
Asthma,0,0,1,1,1,1,1,1,0,0
Asthma,0,1,1,0,0,1,1,1,1,0
Asthma,1,1,1,1,1,0,0,1,0,0
Asthma,1,1,1,1,0,0,1,1,1,0
Asthma,0,1,0,0,0,1,0,1,1,1
Asthma,1,1,1,1,1,0,1,0,1,0
Asthma,1,1,1,1,1,1,1,1,1,0
Asthma,0,1,0,1,0,0,1,1,1,0
Asthma,1,1,0,1,1,1,0,1,1,0
Asthma,0,1,0,1,0,1,1,0,1,1
Asthma,1,1,1,1,1,1,0,0,0,0
Asthma,1,1,1,1,1,0,1,1,0,0
Asthma,0,1,1,1,0,0,0,1,0,1
Asthma,1,1,0,0,0,1,1,0,1,0
Asthma,1,1,1,1,0,1,0,0,0,1
Asthma,1,1,0,1,0,1,0,1,0,0
Asthma,1,0,0,1,0,1,1,0,1,1
Asthma,1,0,1,1,1,1,0,1,0,1
Asthma,0,1,0,1,0,0,1,0,0,0
Asthma,1,1,1,0,1,0,0,1,1,0
Asthma,0,0,1,1,0,1,1,0,0,1
Asthma,1,1,1,1,1,0,0,0,0,1
Asthma,1,0,1,1,0,0,1,1,0,0
Asthma,0,1,1,1,0,1,1,0,1,0
Asthma,0,1,1,1,1,1,0,1,1,1
Asthma,1,1,1,1,1,0,1,0,1,1
Asthma,1,1,1,1,0,0,0,0,0,1
Asthma,0,1,0,0,0,1,0,0,1,1
Asthma,1,1,1,1,0,1,1,0,1,1
Asthma,1,0,0,0,0,1,0,1,1,0
Asthma,1,1,1,1,1,1,0,1,0,1
Asthma,1,1,1,0,1,1,1,1,1,0
Asthma,1,1,1,1,0,0,0,0,1,1
Asthma,1,1,0,0,0,1,0,0,1,0
Asthma,1,1,1,1,1,1,0,1,1,1
Asthma,1,1,1,1,0,1,0,0,0,0
Asthma,1,1,0,1,1,1,0,1,1,1
Asthma,1,0,1,1,0,0,0,0,1,0
Asthma,0,1,1,1,0,0,0,1,0,0
Asthma,1,1,0,1,0,0,1,1,0,0
Asthma,0,1,1,0,0,1,0,1,0,0
Asthma,0,1,1,1,1,1,0,1,0,0
Asthma,1,1,0,1,1,1,0,0,1,1
Asthma,1,0,0,0,1,0,1,0,1,0
Asthma,1,0,1,1,0,0,0,1,1,0
Asthma,0,1,0,1,1,1,1,0,1,0
Asthma,0,1,1,0,1,0,1,0,0,0
Asthma,1,1,1,1,0,1,0,0,0,0
Asthma,1,1,1,1,1,0,1,1,0,0
Asthma,1,1,0,1,0,1,1,0,0,0
Asthma,0,1,1,1,0,0,0,0,1,0
Asthma,0,1,0,1,1,0,0,1,1,0
Asthma,0,1,1,0,1,1,0,0,1,1
Asthma,1,1,0,1,1,1,0,0,1,0
Asthma,1,1,1,1,1,1,1,0,0,0
Asthma,1,1,1,1,1,1,0,1,1,0
Asthma,1,0,1,1,0,1,0,0,1,1
Asthma,1,1,1,0,1,1,1,0,0,1
Asthma,1,0,1,1,0,1,1,1,0,0
Asthma,0,1,1,1,1,1,0,1,0,0
Asthma,1,1,0,1,0,0,1,0,1,1
Asthma,1,1,1,1,0,1,1,1,0,0
Asthma,0,1,1,0,1,1,1,0,1,0
Asthma,1,1,1,1,0,1,0,0,0,0
Asthma,1,0,0,1,1,0,1,1,0,1
Asthma,0,1,1,1,1,1,1,1,0,1
Asthma,1,0,1,1,1,0,0,0,1,1
Asthma,1,0,1,1,0,0,1,0,0,1
Asthma,1,0,1,1,0,1,1,1,0,0
Asthma,0,1,1,1,0,0,0,1,0,1
Asthma,1,1,1,1,0,0,1,1,1,1
Asthma,1,1,1,0,1,1,1,0,0,1
Asthma,1,1,1,1,0,1,0,1,1,1
Asthma,1,1,0,1,1,0,0,0,1,0
Asthma,1,1,1,1,1,1,1,0,1,0
Asthma,0,1,1,1,0,1,1,0,0,0
Asthma,1,1,0,1,1,0,0,1,1,0
Asthma,1,1,1,1,0,0,1,0,1,1
Asthma,0,1,0,1,0,1,0,0,1,1
Asthma,1,1,0,1,0,0,0,1,1,1
Asthma,1,1,1,1,1,0,0,0,0,1
Asthma,1,1,0,0,1,1,0,0,0,1
Asthma,1,1,1,1,1,1,0,1,1,0
Asthma,1,1,1,1,1,1,0,0,0,0
Asthma,1,0,1,1,0,1,1,1,0,1
Asthma,1,1,0,0,0,1,0,0,1,1
Asthma,1,1,1,1,1,1,0,0,1,0
Asthma,1,1,0,1,0,0,1,0,0,0
Asthma,1,1,1,1,1,0,1,1,1,0
Asthma,0,1,1,0,1,1,1,0,1,1
Asthma,1,0,1,1,1,1,1,0,0,0
Asthma,0,1,0,1,0,1,0,1,0,0
Asthma,1,1,0,0,0,1,0,0,1,0
Asthma,1,0,1,0,0,1,1,1,0,1
Asthma,0,1,1,0,0,1,0,1,0,0
Asthma,1,0,0,1,1,0,1,1,0,0
Asthma,1,0,0,1,0,0,1,1,0,1
Asthma,1,1,1,1,0,1,1,1,1,0
Asthma,1,1,1,1,0,1,1,0,1,1
Asthma,1,1,1,1,0,0,0,1,0,1
Asthma,0,1,0,0,1,1,1,1,1,1
Asthma,1,1,1,1,1,0,0,0,0,1
Asthma,0,0,1,1,1,0,0,1,1,0
Asthma,0,0,1,1,1,1,0,0,1,0
Asthma,1,1,1,1,0,1,1,1,1,1
Asthma,1,1,0,1,0,1,1,0,1,0
Asthma,1,1,0,0,0,1,1,0,0,0
Asthma,1,1,1,1,0,1,0,0,0,1
Asthma,1,1,1,1,0,1,1,0,1,1
Asthma,1,1,1,1,1,0,1,1,1,0
Asthma,1,1,1,1,1,0,1,0,0,0
Asthma,1,1,0,1,1,1,1,0,0,0
Asthma,0,1,0,1,1,0,0,1,0,1
Asthma,0,1,1,1,1,1,0,0,1,1
Asthma,1,1,1,0,1,1,1,0,1,0
Asthma,0,1,1,1,1,0,1,1,0,1
Asthma,1,1,1,1,0,1,0,0,1,0
Asthma,1,1,0,1,1,0,0,0,0,0
Asthma,1,1,1,0,1,0,0,1,1,1
Asthma,1,0,0,1,0,1,1,0,0,0
Asthma,0,0,0,1,1,1,0,0,0,0
Asthma,0,1,0,1,1,1,0,0,1,1
Asthma,1,1,1,0,1,1,1,0,0,1
Asthma,1,1,1,1,1,0,1,0,0,1
Asthma,1,1,1,1,1,0,0,1,0,0
Asthma,0,1,1,1,0,0,1,0,1,1
Asthma,1,0,1,1,1,1,0,1,0,0
Asthma,1,1,1,1,0,1,1,0,0,1
Asthma,1,0,1,0,0,1,0,0,1,0
Asthma,1,1,0,1,0,0,1,0,1,0
Asthma,1,1,1,0,0,0,1,1,0,0
Asthma,1,1,1,1,1,1,0,1,0,1
Asthma,1,1,0,1,0,0,0,1,1,0
Asthma,0,1,1,1,0,1,1,1,0,1
Asthma,0,1,1,0,0,1,1,0,0,0
Asthma,1,1,1,1,1,0,0,0,1,0
Asthma,1,1,0,1,0,0,1,1,1,1
Asthma,0,0,1,0,0,1,1,0,0,0
Asthma,0,0,1,1,1,1,0,0,1,0
Asthma,1,1,1,1,0,1,1,1,0,0
Asthma,0,0,1,1,1,1,0,0,0,0
Asthma,0,1,1,1,0,1,1,1,1,0
Asthma,1,1,1,0,1,1,0,1,1,1
Asthma,1,0,0,1,0,1,0,1,0,0
Bronchitis,1,1,0,1,1,0,1,1,1,0
Bronchitis,1,1,0,0,1,0,1,0,0,0
Bronchitis,1,1,0,0,1,0,1,1,1,0
Bronchitis,1,1,1,1,0,0,1,1,1,0
Bronchitis,0,1,1,1,0,1,0,1,0,0
Bronchitis,1,1,0,0,0,0,1,0,0,0
Bronchitis,1,1,1,1,0,0,0,0,0,0
Bronchitis,1,0,1,1,1,0,0,0,0,1
Bronchitis,1,0,1,0,1,0,0,0,0,0
Bronchitis,0,1,1,1,1,0,0,1,0,0
Bronchitis,1,1,0,1,0,1,1,1,1,0
Bronchitis,1,0,0,0,0,1,1,1,0,0
Bronchitis,1,0,1,0,1,0,0,0,0,1
